"",Name,Artist,Album,Popularity,Lyrics,Sentiment
261,Somebody's Pleasure,Aziz Hedra,Somebody's Pleasure,83,"1 contributorsomebodi ’ s pleasur lyric [ vers 1 ] i 've been so busi , ignor , and hide about what my heart actual say stay awak while i ’ m drown on my thought sometim a happi is just a happi [ ...",Feeling : Positive
792,Where Are Ü Now (with Justin Bieber),Jack Ü,Skrillex and Diplo present Jack Ü,75,1 contributorsongteksten week 25 ( 20 juni 2015 ) lyrics1 . lean on - major lazer x dj snake feat . mø 2. parij - kenni b 3. ai n't nobodi ( love me better ) - felix jaehn feat . jasmin thompson 4...,Feeling : Négative
747,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",24,1 contributorsongteksten week 25 ( 20 juni 2015 ) lyrics1 . lean on - major lazer x dj snake feat . mø 2. parij - kenni b 3. ai n't nobodi ( love me better ) - felix jaehn feat . jasmin thompson 4...,Feeling : Négative
648,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),87,"1 contributorstay ( with justin bieber ) lyricsi do the same thing , i told you that i never would i told you i chang , even when i knew i never could i know that i ca n't find nobodi els as good ...",Feeling : Positive
263,Tak Segampang Itu,Anggi Marito,Tak Segampang Itu,88,1 contributortak segampang itu lyric [ lirik “ tak segampang itu ” ] [ vers 1 ] waktu demi waktu hari demi hari sadar ku t ’ lah sendiri kau t ’ lah pergi jauh tinggalkan diriku ternyata ku rindu ...,Feeling : Positive
675,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],83,"1 contributortop artista bolivia 2022 lyricstop artista bolivia 20221 . `` me porto bonito '' - bad bunni , chencho corleon 2 . `` desesperado '' - rauw alejandro , chencho corleon 3 . `` provenza...",Feeling : Négative
37,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),78,1 contributortop group of 2021 lyricsbt - butter maroon 5 - memori imagin dragon - follow you one direct - best song ever queen - bohemian rhapsodi the beatl - let it be ( remast 2009 ) måneskin -...,Feeling : Positive
13,Let It Be - Remastered,The Beatles,Let It Be (Remastered),0,1 contributortop group of 2021 lyricsbt - butter maroon 5 - memori imagin dragon - follow you one direct - best song ever queen - bohemian rhapsodi the beatl - let it be ( remast 2009 ) måneskin -...,Feeling : Positive
5,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),0,1 contributortop group of 2021 lyricsbt - butter maroon 5 - memori imagin dragon - follow you one direct - best song ever queen - bohemian rhapsodi the beatl - let it be ( remast 2009 ) måneskin -...,Feeling : Positive
235,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,98,"1 contributortranslationsenglishbahasa melayufrançaisbahasa indonesiaespañolไทย / phasa thaiportuguêsfifti fifti - cupid ( twin ver . ) ( 歌詞和訳） lyric [ intro : aran ] la , la , la , la-la-la la , ...",Feeling : Négative
402,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,98,"1 contributortranslationsenglishbahasa melayufrançaisbahasa indonesiaespañolไทย / phasa thaiportuguêsfifti fifti - cupid ( twin ver . ) ( 歌詞和訳） lyric [ intro : aran ] la , la , la , la-la-la la , ...",Feeling : Négative
167,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,98,"1 contributortranslationsenglishbahasa melayufrançaisbahasa indonesiaespañolไทย / phasa thaiportuguêsfifti fifti - cupid ( twin ver . ) ( 歌詞和訳） lyric [ intro : aran ] la , la , la , la-la-la la , ...",Feeling : Négative
414,Trouble,Josh Ross,Trouble,72,"1 contributortroubl lyric [ vers 1 ] i do n't wan na spend anoth night alon reach for the space you left in our bed tonight so i guess i 'll call some buddi up get gone , take anoth shot in some b...",Feeling : Positive
490,Ain’t That Some,Morgan Wallen,One Thing At A Time,52,"10 contributorsain ’ t that some lyric [ choru ] ai n't that some back home , buddi in the field , mud on the wheel , yeah ai n't that some thick smoke , silverado , tearin ' up a two-lan road ai ...",Feeling : Négative
482,El Azul,Junior H,El Azul,95,10 contributorsel azul lyric [ letra de `` el azul '' ] [ verso 1 : junior h & peso pluma ] qué detallazo pa ' mensajear con la muert una colt siet chino que de retrato trae al señor de la montaña...,Feeling : Négative
177,El Azul,Junior H,El Azul,95,10 contributorsel azul lyric [ letra de `` el azul '' ] [ verso 1 : junior h & peso pluma ] qué detallazo pa ' mensajear con la muert una colt siet chino que de retrato trae al señor de la montaña...,Feeling : Négative
151,Good Enough,Dodgy,Free Peace Sweet,53,"10 contributorsgood enough lyric [ vers 1 ] i 've got an ach in my bone i 've been expos to what i want to see the fuse is burn somewher it 's drench in heat , it 's where i long to be [ pre-choru...",Feeling : Positive
371,Handle On You,Parker McCollum,Handle On You,78,"10 contributorshandl on you lyric [ vers 1 ] i went and bought the biggest bottl they got 'caus you 're gone drop a needl on a vinyl and cri to an old haggard song sittin ' at the tabl , babi brea...",Feeling : Négative
473,Handle On You,Parker McCollum,Handle On You,78,"10 contributorshandl on you lyric [ vers 1 ] i went and bought the biggest bottl they got 'caus you 're gone drop a needl on a vinyl and cri to an old haggard song sittin ' at the tabl , babi brea...",Feeling : Négative
383,Middle Ground,Maroon 5,Middle Ground,67,"10 contributorsmiddl ground lyric [ vers 1 ] i need peac , i need hope , i need guidanc i need more than myself i need light , i need life , i need what i never felt [ pre-choru ] sister and broth...",Feeling : Positive
575,Solo,BLANKA,Solo,78,"10 contributorssolo lyric [ vers 1 ] babi , it 's kind of crazi how els to phrase it ? with you , i ’ ve lost my sens babi , what happen to ya ? i thought i knew ya but now it 's time to face it [...",Feeling : Positive
245,Solo,BLANKA,Solo,78,"10 contributorssolo lyric [ vers 1 ] babi , it 's kind of crazi how els to phrase it ? with you , i ’ ve lost my sens babi , what happen to ya ? i thought i knew ya but now it 's time to face it [...",Feeling : Positive
375,Haven't You Ever Been In Love Before?,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,69,"10 contributorstranslationsportuguêshaven ’ t you ever been in love befor ? lyric [ vers 1 ] do n't put your cover up you know it 's bad for your health and , when the go 's tough you 're way too ...",Feeling : Positive
566,Healing,Tion Wayne,Healing,71,"10 contributorstranslationsفارسیh lyric [ intro ] grrt , woo mm-mm oi oi , oi-oi-oi [ choru ] if you do n't hear , must feel it ( mm-mm ) all that time i spent on the road , i 'm healin ' i wa in ...",Feeling : Positive
717,Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),73,"100 contributorstranslationsfrançaisespañollay me down lyric [ vers 1 ] ye i do , i believ that one day i will be where i wa right there , right next to you and it 's hard , the day just seem so d...",Feeling : Positive
392,Lavender Haze,Taylor Swift,Midnights,88,102 contributorstranslationsespañolfrançaisportuguês中文српскиmagyaritalianoукраїнськаtürkçenederlandssvenskadeutschmagyarελληνικάlavend haze lyric [ intro ] meet me at midnight [ vers 1 ] stare at ...,Feeling : Négative
476,Lavender Haze,Taylor Swift,Midnights (3am Edition),56,102 contributorstranslationsespañolfrançaisportuguês中文српскиmagyaritalianoукраїнськаtürkçenederlandssvenskadeutschmagyarελληνικάlavend haze lyric [ intro ] meet me at midnight [ vers 1 ] stare at ...,Feeling : Négative
687,Doja,Central Cee,Doja,86,"103 contributorstranslationstürkçeespañolрусскийdeutschportuguês한국어doja lyric [ choru ] how can i be homophob ? my bitch is gay hit man in the top , tri see a man topless , even the stick is gay h...",Feeling : Négative
7,All Along the Watchtower,Jimi Hendrix,Electric Ladyland,77,107 contributorsal along the watchtow lyric [ vers 1 ] `` there must be some kind of way out of here '' said the joker to the thief `` there 's too much confus i ca n't get no relief businessmen t...,Feeling : Positive
252,Bridges,ALIKA,Bridges,74,11 contributorsbridg lyric [ vers 1 ] now i 'm head home to solid ground realiz that all the lie i 've told myself have die bring me to the place where i belong fill with all the memori and dream ...,Feeling : Positive
696,Do It To It,ACRAZE,Do It To It,83,"11 contributorsdo it to it lyric [ choru ] bounc wit it , drop wit it lean wit it , rock wit it , snap wit it all my ladi , pop yo back wit it bounc wit it , drop wit it lean wit it , rock wit it ...",Feeling : Négative
478,Love You Anyway,Luke Combs,Love You Anyway,79,11 contributorslov you anyway lyric [ vers 1 ] if your kiss turn me to stone i 'd be a statu stand tall in ancient rome and if your touch shatter me like glass i ’ d be in piec tri to make the bre...,Feeling : Positive
504,Man Made A Bar (feat. Eric Church),Morgan Wallen,One Thing At A Time,81,"11 contributorsman made a bar lyric [ vers 1 : morgan wallen ] i sat down on a barstool , like a dern fool 'caus she walk out again bartend said , `` i got you , yeah , 'caus i , too have been in ...",Feeling : Positive
373,Man Made A Bar (feat. Eric Church),Morgan Wallen,One Thing At A Time,81,"11 contributorsman made a bar lyric [ vers 1 : morgan wallen ] i sat down on a barstool , like a dern fool 'caus she walk out again bartend said , `` i got you , yeah , 'caus i , too have been in ...",Feeling : Positive
512,SHAKE SUMN,DaBaby,CALL DA FIREMAN,53,"11 contributorsshak sumn lyric [ intro ] ( he 's on— , he 's on— , he 's on fire ) yeah , call the fireman , she a hot girl come shake some , bitch [ choru ] i do n't know how to danc but can lean...",Feeling : Négative
456,Thank God,Kane Brown,Different Man,78,"11 contributorsthank god lyric [ vers 1 : kane brown ] i wa lost , you found a way to bring me back need forgiv , you alway gave me that girl , i 'm a wit of your love 'caus you do n't be givin ' ...",Feeling : Positive
400,The Kind of Love We Make,Luke Combs,Growin' Up,82,11 contributorstranslationsespañolth kind of love we make lyric [ vers 1 ] we 've been burnin ' both end keepin ' the light on so i 've been thinkin ' we need a littl time alon [ pre-choru ] so wh...,Feeling : Positive
669,Anyone For You (Tiger Lily),George Ezra,Anyone For You (Tiger Lily),17,"11 contributorstranslationsportuguêsanyon for you ( tiger lili ) lyric [ vers 1 ] tiger lili , move to the citi she just turn twenty-on and then i said , `` here 's my number , hit me up if you 'r...",Feeling : Positive
250,アイドル,YOASOBI,アイドル,90,11 contributorstranslationsromanizationenglishසිංහලрусскийbahasa indonesiatürkçeアイドル ( idol ) lyric [ yoasobi「アイドル」歌詞 ] [ intro ] 無敵の笑顔で荒らすメディア 知りたいその秘密ミステリアス 抜けてるとこさえ彼女のエリア 完璧で嘘つきな君は 天才的なアイドル様 ( ...,Feeling : Positive
106,Where Do You Go,No Mercy,My Promise,67,"11 contributorswher do you go lyric [ choru intro ] where do you go , my love where do you go i wan na know , my love , i wan na know where do you go , oh oh eh oh i wan na know , oh oh eh oh wher...",Feeling : Positive
656,Surface Pressure,Jessica Darrow,Encanto (Original Motion Picture Soundtrack),75,"110 contributorstranslationstagalog / ᜆᜄᜎᜓᜄ᜔surfac pressur lyric [ intro ] i 'm the strong one , i 'm not nervou i 'm as tough as the crust of the earth is i move mountain , i move church and i gl...",Feeling : Positive
677,Ghost,Justin Bieber,Justice,76,111 contributorstranslationsdeutschtürkçeespañolportuguêsghost lyric [ vers 1 ] youngblood think there 's alway tomorrow i miss your touch some night when i 'm hollow i know you cross a bridg that...,Feeling : Positive
189,I Wanna Be Yours,Arctic Monkeys,AM,94,113 contributorstranslationstürkçeespañolfrançaisi wan na be your lyric [ vers 1 ] i wan na be your vacuum cleaner breathin ' in your dust i wan na be your ford cortina i will never rust if you li...,Feeling : Positive
581,Energy,Digga D,Energy,75,"12 contributorsenergi lyric [ intro ] too much fake nigga , that 's whi i hate nigga come around with their bad energi , fuck off , man ( x10 ) leav me alon 2023 , blud ( hargo product ) trust me ...",Feeling : Positive
503,Everything I Love,Morgan Wallen,One Thing At A Time,80,12 contributorseveryth i love lyric [ vers 1 ] i wish i would 've met you anywher but where i did some old high rise town that i wo n't ever go again i wish we woulda roll around in some old cab a...,Feeling : Positive
154,Hit Me Off,New Edition,Home Again,53,"12 contributorshit me off lyric [ intro - ricki bell , bobbi brown , and ralph tresvant ] alright y'all you ai n't got to ask nobodi yeah we got cha open come on babi , you drive me crazi [ vers 1...",Feeling : Positive
158,Spaceman,Babylon Zoo,The Boy With The X-Ray Eyes,50,"12 contributorsspaceman lyric [ vers 1 ] pungent smell , they consumm my home beyond the black horizon , tri to take control see my girl , she shiver in her bone the sun and zenith rise , tri to t...",Feeling : Négative
459,Tennessee Orange,Megan Moroney,Tennessee Orange,78,"12 contributorstennesse orang lyric [ vers 1 ] mama , i 'm callin ' , i 've got some news do n't you tell daddi , he 'll blow a fuse do n't worri , i 'm doin ' okay i know you rais me to know righ...",Feeling : Positive
457,Thought You Should Know,Morgan Wallen,Thought You Should Know,55,"12 contributorsthought you should know lyric [ vers 1 ] what 's goin ' on , mama ? somethin ' just dawn on me i ai n't been home in some month been chasin' song and women , makin ' some bad decis ...",Feeling : Positive
552,Tony Soprano 2,Nines,Tony Soprano 2,69,"12 contributorstoni soprano 2 lyric [ intro ] aye , all fun and joke asid , nigga i need them nine double-entendr , nigga them nine metaphor , nigga i need you to flex and shit on everybodi off th...",Feeling : Positive
244,Perfume,NCT DOJAEJUNG,Perfume - The 1st Mini Album,80,"12 contributorstranslationsromanizationenglishportuguêsperfum lyric [ 엔시티 도재정 `` perfum '' 가사 ] [ intro : doyoung ] perfum , ooh-ooh-ooh-ooh ( ooh-yeah ) [ vers 1 : jaehyun , doyoung ] ayi , 너의 하룰...",Feeling : Positive
230,Mama ŠČ!,Let 3,Mama ŠČ!,72,"12 contributorstranslationsсрпскиenglishfrançaismama šč ! lyric [ tekst pjesm `` mama šč ! '' ] [ strofa 1 ] mama kupila traktora , šč mama kupila traktora , šč mama kupila traktora trajna-nina , ...",Feeling : Positive
394,All Of The Girls You Loved Before,Taylor Swift,All Of The Girls You Loved Before,90,122 contributorstranslationsespañolfrançaisportuguêsdeutschtürkçeсрпскиmagyaritalianoal of the girl you love befor lyric [ vers 1 ] when you think of all the late night lame fight over the phone w...,Feeling : Positive
708,Lost,Frank Ocean,channel ORANGE,86,"122 contributorstranslationsespañolрусскийportuguêslost lyric [ vers 1 ] doubl d , big full breast on my babi ( yo , we go to florida ) tripl weight could n't weigh the love i 've got for the girl...",Feeling : Négative
765,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),81,"123 contributorsdrag me down lyric [ vers 1 : harri ] i 've got fire for a heart , i 'm not scare of the dark you 've never seen it look so easi i got a river for a soul , and , babi , you 're a b...",Feeling : Positive
700,Yellow,Coldplay,Yellow,56,"123 contributorstranslationsbahasa indonesiaespañolportuguêschines traditionalyellow lyric [ vers 1 : chri martin ] look at the star , look how they shine for you and everyth you do yeah , they we...",Feeling : Positive
21,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,70,"125 contributorslik a roll stone lyric [ vers 1 ] onc upon a time you dress so fine threw the bum a dime in your prime , did n't you ? peopl call , say `` bewar doll , you 're bound to fall '' you...",Feeling : Négative
741,All About That Bass,Meghan Trainor,All About That Bass,62,"127 contributorstranslationsfrançaistürkçedeutschal about that bass lyric [ choru ] becaus you know i 'm all about that bass 'bout that bass , no trebl i 'm all 'bout that bass , 'bout that bass ,...",Feeling : Négative
90,Coco Jamboo,Mr. President,We See The Same Sun,74,"13 contributorscoco jamboo lyric [ intro : lazi dee ] ya ya ya coco jamboo ya ya ye ya ya ya coco jamboo ya ya ye [ pre-choru : t-seven ] put me up , put me down put my feet back on the ground put...",Feeling : Positive
136,Everyday Is A Winding Road,Sheryl Crow,Sheryl Crow,57,13 contributorseveryday is a wind road lyric [ vers 1 ] i hitch a ride with a vend machin repair man he said he 's been down thi road more than twice he wa high on intellectu i 've never been ther...,Feeling : Positive
227,NARCISSISTIC PERSONALITY DISORDER,Odetari,NARCISSISTIC PERSONALITY DISORDER,44,"13 contributorsnarcissist person disord lyric [ intro ] off of the drank and off of the drug i feel like i 'm in slow-mo glad that you came , let out all the pain i 'm sorri for your sorrow [ brid...",Feeling : Positive
752,Show Me Love,Sam Feldt,Show Me Love,57,"13 contributorsshow me love lyricsheartbreak and promis i 've had more than my share i 'm tire of give my love and get nowher , nowher it 's been so long sinc i 've touch your want hand i 'll put ...",Feeling : Positive
449,Something in the Orange,Zach Bryan,Something in the Orange,88,"13 contributorssometh in the orang lyric [ vers 1 ] it 'll be fine by dusk light , i 'm tellin ' you , babi these thing eat at your bone and drive your young mind crazi but when you place your hea...",Feeling : Négative
337,TRUSTFALL,P!nk,TRUSTFALL,83,"13 contributorstranslationsdeutschfrançaisitalianotrustfal lyric [ intro ] trust fall , babi it 's a trust fall , babi [ vers 1 ] pictur a place where it all doe n't hurt where everyth 's safe and...",Feeling : Positive
249,Évidemment,La Zarra,Évidemment,79,"13 contributorstranslationsenglishespañoldeutschpolskiсрпскиévidem lyric [ parol de `` évidem '' ] [ couplet 1 ] mon cœur , me main , me yeux , me rein plu rien ne m'apparti j'me fai du mal pour f...",Feeling : Positive
612,Évidemment,La Zarra,Évidemment,79,"13 contributorstranslationsenglishespañoldeutschpolskiсрпскиévidem lyric [ parol de `` évidem '' ] [ couplet 1 ] mon cœur , me main , me yeux , me rein plu rien ne m'apparti j'me fai du mal pour f...",Feeling : Positive
214,Cha Cha Cha,Käärijä,Cha Cha Cha,88,13 contributorstranslationsenglishfrançaisрусскийdeutschtürkçecha cha cha lyric [ säkeistö 1 ] rankka viikko ja paljon pitkii päiviä takan mielenkiintona piña colada ja rata ilta on vielä nuori ja...,Feeling : Positive
401,Cha Cha Cha,Käärijä,Cha Cha Cha,88,13 contributorstranslationsenglishfrançaisрусскийdeutschtürkçecha cha cha lyric [ säkeistö 1 ] rankka viikko ja paljon pitkii päiviä takan mielenkiintona piña colada ja rata ilta on vielä nuori ja...,Feeling : Positive
183,Cha Cha Cha,Käärijä,Cha Cha Cha,88,13 contributorstranslationsenglishfrançaisрусскийdeutschtürkçecha cha cha lyric [ säkeistö 1 ] rankka viikko ja paljon pitkii päiviä takan mielenkiintona piña colada ja rata ilta on vielä nuori ja...,Feeling : Positive
526,Cha Cha Cha,Käärijä,Cha Cha Cha,88,13 contributorstranslationsenglishfrançaisрусскийdeutschtürkçecha cha cha lyric [ säkeistö 1 ] rankka viikko ja paljon pitkii päiviä takan mielenkiintona piña colada ja rata ilta on vielä nuori ja...,Feeling : Positive
247,Samo mi se spava,Luke Black,Samo mi se spava,72,"13 contributorstranslationsсрпскиenglishfrançaissamo mi se spava lyric [ tekst pesm `` samo mi se spava '' ] [ strofa 1 ] babi , watch the world on fire it is all a game to me i do n't wan na choo...",Feeling : Positive
578,messy in heaven,venbee,messy in heaven,77,"13 contributors​messi in heaven lyric [ intro ] i heard jesu did cocain on a night out eye wide open , dilat , but he 's fine now and if hi father ever find out , then he 'd probabl knock hi light...",Feeling : Positive
425,Kill Bill,SZA,SOS,92,136 contributorstranslationsespañolportuguêsitalianotürkçedeutschnederlands日本語සිංහලελληνικάрусскийbahasa indonesiakil bill lyric [ vers 1 ] i 'm still a fan even though i wa salti hate to see you ...,Feeling : Négative
555,Kill Bill,SZA,SOS,92,136 contributorstranslationsespañolportuguêsitalianotürkçedeutschnederlands日本語සිංහලελληνικάрусскийbahasa indonesiakil bill lyric [ vers 1 ] i 'm still a fan even though i wa salti hate to see you ...,Feeling : Négative
170,Kill Bill,SZA,SOS,94,136 contributorstranslationsespañolportuguêsitalianotürkçedeutschnederlands日本語සිංහලελληνικάрусскийbahasa indonesiakil bill lyric [ vers 1 ] i 'm still a fan even though i wa salti hate to see you ...,Feeling : Négative
39,Don't Stop Believin',Journey,Escape (Bonus Track Version),84,"137 contributorsdon ’ t stop believin ’ lyric [ vers 1 ] just a small-town girl , livin ' in a lone world she took the midnight train goin ' anywher just a citi boy , born and rais in south detroi...",Feeling : Positive
620,Bad Habits,Ed Sheeran,Bad Habits,21,"137 contributorstranslationstürkçeespañolportuguês日本語italianodeutschفارسیελληνικάсрпскиbad habit lyric [ intro ] ( one , two , three , four ) ooh , ooh [ vers 1 ] everi time you come around , you ...",Feeling : Négative
306,Ass Like That,Eminem,Encore (Deluxe Version),72,"138 contributorstranslationstürkçeass like that lyric [ intro ] ow , babi [ choru ] the way you shake it , i ca n't believ it i ai n't never seen an ass like that the way you move it , you make my...",Feeling : Positive
694,Wonderwall,Oasis,Wonderwall,31,"139 contributorstranslationsenglishwonderwal lyric [ vers 1 ] today is gon na be the day that they 're gon na throw it back to you and by now , you shoulda somehow realis what you got ta do i do n...",Feeling : Positive
440,Search & Rescue,Drake,Search & Rescue,71,"139 contributorstranslationsportuguêsdeutschрусский日本語search & rescu lyric [ intro ] ( i-i 'm ) sadponi ayi ( i-i 'm ) , yeah bnyx [ choru ] i need someon to be patient with me someon to get money...",Feeling : Positive
557,Search & Rescue,Drake,Search & Rescue,91,"139 contributorstranslationsportuguêsdeutschрусский日本語search & rescu lyric [ intro ] ( i-i 'm ) sadponi ayi ( i-i 'm ) , yeah bnyx [ choru ] i need someon to be patient with me someon to get money...",Feeling : Positive
627,Afraid To Feel,LF SYSTEM,Afraid To Feel,81,"14 contributorsafraid to feel lyric [ intro ] oh , you see the flame of burnin ' passion when i look in your eye , ye , ye , oh , ye are you afraid to feel what you know is real , ah like ani othe...",Feeling : Positive
602,Afraid To Feel,LF SYSTEM,Afraid To Feel,81,"14 contributorsafraid to feel lyric [ intro ] oh , you see the flame of burnin ' passion when i look in your eye , ye , ye , oh , ye are you afraid to feel what you know is real , ah like ani othe...",Feeling : Positive
441,Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,84,"14 contributorsrock and a hard place lyric [ vers 1 ] we 've been swingin ’ and missin ' it ai n't broke yet , but damn , it need fixin ’ been a while sinc your kiss felt like kissin ' it 's just ...",Feeling : Négative
529,I Wrote A Song,Mae Muller,I Wrote A Song,77,"14 contributorstranslationshrvatskii wrote a song lyric [ intro ] oh , yeah ooh [ vers 1 ] when you said you were leav to work on your mental health you did n't mention the cheat , yeah you kept t...",Feeling : Positive
346,I Wrote A Song,Mae Muller,I Wrote A Song,77,"14 contributorstranslationshrvatskii wrote a song lyric [ intro ] oh , yeah ooh [ vers 1 ] when you said you were leav to work on your mental health you did n't mention the cheat , yeah you kept t...",Feeling : Positive
633,Green Green Grass,George Ezra,Green Green Grass,19,"14 contributorstranslationsportuguêsgreen green grass lyric [ intro ] ( throw a parti ) ( throw a parti , yeah ) ( throw a parti ) [ vers 1 ] well , she move like lightn and she count to three and...",Feeling : Positive
540,Green Green Grass,George Ezra,Gold Rush Kid,83,"14 contributorstranslationsportuguêsgreen green grass lyric [ intro ] ( throw a parti ) ( throw a parti , yeah ) ( throw a parti ) [ vers 1 ] well , she move like lightn and she count to three and...",Feeling : Positive
